Key,FullKey,C_Site,Hist,Behavior,CPC2024B,CPC2025B,CPC2026A
95123,C00095123,C000,9512,3,9,9,3
95133,C00095133,C000,9513,3,9,9,3
95203,C00095203,C000,9520,3,9,9,3
95213,C00095213,C000,9521,3,9,9,3
95223,C00095223,C000,9522,3,9,9,3
95233,C00095233,C000,9523,3,9,9,3
95303,C00095303,C000,9530,3,9,9,3
95383,C00095383,C000,9538,3,9,9,3
95393,C00095393,C000,9539,3,9,9,3
95603,C00095603,C000,9560,3,9,9,3
95613,C00095613,C000,9561,3,9,9,3
95713,C00095713,C000,9571,3,9,9,3
96793,C00096793,C000,9679,3,3,3,3
96893,C00096893,C000,9689,3,3,3,3
96993,C00096993,C000,9699,3,1,1,1
97163,C00097163,C000,9716,3,3,3,3
97313,C00097313,C000,9731,3,3,3,3
97323,C00097323,C000,9732,3,3,3,3
97343,C00097343,C000,9734,3,1,1,1
97413,C00097413,C000,9741,3,3,3,3
97423,C00097423,C000,9742,3,3,3,3
97613,C00097613,C000,9761,3,3,3,3
98003,C00098003,C000,9800,3,3,3,3
98013,C00098013,C000,9801,3,3,3,3
98063,C00098063,C000,9806,3,3,3,3
98073,C00098073,C000,9807,3,3,3,3
98083,C00098083,C000,9808,3,3,3,3
98093,C00098093,C000,9809,3,3,3,3
98203,C00098203,C000,9820,3,3,3,3
98233,C00098233,C000,9823,3,1,1,1
98263,C00098263,C000,9826,3,3,3,3
98313,C00098313,C000,9831,3,3,3,3
98323,C00098323,C000,9832,3,3,3,3
98333,C00098333,C000,9833,3,3,3,3
98343,C00098343,C000,9834,3,3,3,3
98403,C00098403,C000,9840,3,3,3,3
98603,C00098603,C000,9860,3,3,3,3
98613,C00098613,C000,9861,3,3,3,3
98633,C00098633,C000,9863,3,3,3,3
98653,C00098653,C000,9865,3,3,3,3
98663,C00098663,C000,9866,3,3,3,3
98673,C00098673,C000,9867,3,3,3,3
98693,C00098693,C000,9869,3,3,3,3
98703,C00098703,C000,9870,3,3,3,3
98713,C00098713,C000,9871,3,3,3,3
98723,C00098723,C000,9872,3,3,3,3
98733,C00098733,C000,9873,3,3,3,3
98743,C00098743,C000,9874,3,3,3,3
98753,C00098753,C000,9875,3,3,3,3
98763,C00098763,C000,9876,3,3,3,3
98773,C00098773,C000,9877,3,3,3,3
98783,C00098783,C000,9878,3,3,3,3
98793,C00098793,C000,9879,3,3,3,3
98913,C00098913,C000,9891,3,3,3,3
98953,C00098953,C000,9895,3,3,3,3
98963,C00098963,C000,9896,3,3,3,3
98973,C00098973,C000,9897,3,3,3,3
98983,C00098983,C000,9898,3,3,3,3
99103,C00099103,C000,9910,3,3,3,3
99113,C00099113,C000,9911,3,3,3,3
99123,C00099123,C000,9912,3,3,3,3
99203,C00099203,C000,9920,3,3,3,3
99303,C00099303,C000,9930,3,1,1,1
99313,C00099313,C000,9931,3,3,3,3
99403,C00099403,C000,9940,3,3,3,3
99453,C00099453,C000,9945,3,3,3,3
99463,C00099463,C000,9946,3,3,3,3
99483,C00099483,C000,9948,3,3,3,3
99503,C00099503,C000,9950,3,3,3,3
99613,C00099613,C000,9961,3,3,3,3
99623,C00099623,C000,9962,3,3,3,3
99633,C00099633,C000,9963,3,3,3,3
99643,C00099643,C000,9964,3,3,3,3
99653,C00099653,C000,9965,3,3,3,3
99663,C00099663,C000,9966,3,3,3,3
99673,C00099673,C000,9967,3,3,3,3
99683,C00099683,C000,9968,3,3,3,3
99753,C00099753,C000,9975,3,3,3,3
99823,C00099823,C000,9982,3,3,3,3
99833,C00099833,C000,9983,3,3,3,3
99863,C00099863,C000,9986,3,3,3,3
99893,C00099893,C000,9989,3,3,3,3
99913,C00099913,C000,9991,3,3,3,3
99923,C00099923,C000,9992,3,3,3,3
99933,C00099933,C000,9993,3,3,3,3
80003,C00180003,C001,8000,3,1,1,1
80013,C00180013,C001,8001,3,1,1,1
80023,C00180023,C001,8002,3,1,1,1
80033,C00180033,C001,8003,3,1,1,1
80043,C00180043,C001,8004,3,1,1,1
80053,C00180053,C001,8005,3,1,1,1
80102,C00180102,C001,8010,2,1,1,2
80103,C00180103,C001,8010,3,1,1,2
80113,C00180113,C001,8011,3,1,1,3
80123,C00180123,C001,8012,3,1,1,3
80133,C00180133,C001,8013,3,1,1,1
80143,C00180143,C001,8014,3,1,1,3
80153,C00180153,C001,8015,3,1,1,3
80203,C00180203,C001,8020,3,1,1,1
80213,C00180213,C001,8021,3,1,1,3
80223,C00180223,C001,8022,3,1,1,3
80303,C00180303,C001,8030,3,1,1,3
80313,C00180313,C001,8031,3,1,1,1
80323,C00180323,C001,8032,3,1,1,1
80333,C00180333,C001,8033,3,1,1,3
80343,C00180343,C001,8034,3,1,1,3
80353,C00180353,C001,8035,3,1,1,2
80413,C00180413,C001,8041,3,9,9,1
80423,C00180423,C001,8042,3,9,9,3
80433,C00180433,C001,8043,3,9,9,3
80443,C00180443,C001,8044,3,9,9,3
80453,C00180453,C001,8045,3,9,9,1
80502,C00180502,C001,8050,2,1,1,3
80503,C00180503,C001,8050,3,1,1,3
80512,C00180512,C001,8051,2,9,9,3
80513,C00180513,C001,8051,3,1,1,1
80522,C00180522,C001,8052,2,1,1,1
80523,C00180523,C001,8052,3,1,1,1
80543,C00180543,C001,8054,3,9,9,3
80702,C00180702,C001,8070,2,1,1,1
80703,C00180703,C001,8070,3,1,1,1
80712,C00180712,C001,8071,2,9,9,3
80713,C00180713,C001,8071,3,1,1,1
80722,C00180722,C001,8072,2,9,9,3
80723,C00180723,C001,8072,3,1,1,2
80733,C00180733,C001,8073,3,1,1,3
80742,C00180742,C001,8074,2,9,9,3
80743,C00180743,C001,8074,3,1,1,1
80752,C00180752,C001,8075,2,9,9,3
80753,C00180753,C001,8075,3,1,1,1
80762,C00180762,C001,8076,2,1,1,1
80763,C00180763,C001,8076,3,1,1,1
80772,C00180772,C001,8077,2,9,9,1
80783,C00180783,C001,8078,3,1,1,3
80802,C00180802,C001,8080,2,9,9,3
80812,C00180812,C001,8081,2,1,1,3
80813,C00180813,C001,8081,3,9,9,3
80823,C00180823,C001,8082,3,1,1,1
80832,C00180832,C001,8083,2,9,9,3
80833,C00180833,C001,8083,3,1,1,1
80843,C00180843,C001,8084,3,1,1,2
80853,C00180853,C001,8085,3,9,9,3
80863,C00180863,C001,8086,3,9,9,3
80902,C00180902,C001,8090,2,9,9,3
80942,C00180942,C001,8094,2,9,9,3
80953,C00180953,C001,8095,3,9,9,3
81202,C00181202,C001,8120,2,9,9,3
81203,C00181203,C001,8120,3,9,9,3
81213,C00181213,C001,8121,3,9,9,3
81223,C00181223,C001,8122,3,9,9,3
